,Title,Genre,Rating,Description,Director,Votes,Gross,Keyword
2968,Saattokeikka,"Comedy, Drama",5.7,"Lasse is an old racist who has lives in an apartment block filled with a selection of refugees and immigrants. Kamal is a 16-year old boy who's fed up in his life in Finland, and dreams of ...                See full summary »",Samuli Valkama,318,N/A,summer
2969,sto camping,"Comedy, Drama",8.2,The sluggish life of summer holidays in a Peloponnesian campsite.,Nikos Kalogeropoulos,120,N/A,summer
2970,Ulvova mylläri,"Comedy, Drama",6.2,Miller Gunnar Huttunen falls so heavily in love that he starts to howl.,Jaakko Pakkasvirta,340,N/A,summer
2971,Listening to You: The Who at the Isle of Wight 1970,Music,8.3,This is the film of The Who's appearance at the third (and final) Isle of Wight festival in 1970. This is regarded as the band's finest performance.,Murray Lerner,511,N/A,summer
2972,Jack Frost,"Animation, Short, Family",6.5,"A young grizzly bear, undaunted by his mother's warnings of the coming winter, runs away from home only to be confronted by Old Man Winter himself.",Ub Iwerks,457,N/A,summer
2973,Mrkácek Ciko,"Family, Adventure",4.8,Roman Hlava grew up with his diplomat parents in Latin America where he had been home-schooled by his over doting mother. The over indulgence of affection and praise has given the boy an ...                See full summary »,Drahomíra Králová,27,N/A,summer
2974,Rautatie,"Comedy, Drama",7.2,"Matti and Liisa are two farmers who become curious to see the first railroads in Lapinlahti, Finland.",Kari Franck,162,N/A,summer
2975,Kuu on vaarallinen,"Drama, Romance, Thriller",5.9,Young Elsie runs away from home. She get a lift by an older man who takes her out to his country villa. They begin a sexual relationship while the young Reino also shows interest in Elsie.,T.J. Särkkä,134,N/A,summer
2976,Pojat,"Comedy, Drama, War",7.2,A group of mischievous Finnish boys experience the ups and downs of life during World War 2.,Mikko Niskanen,943,N/A,summer
2977,Dreams by the Sea,Drama,7.1,"On an isolated island, Ester goes about her mundane life, quietly obeying her religious parents. One day the rebellious Ragna moves to town, and together they enjoy the summer nights, dreaming about something different, something better.",Sakaris Stora,66,N/A,summer
2978,Sonho de Verão,"Comedy, Drama, Family",4.7,"A goofy man invades and takes over a rich family's mansion, intending to impress his girlfriend in private. His plan goes wrong when a teenage summer camp is attracted to the place.",Paulo Sérgio de Almeida,178,N/A,summer
2979,Jimi Hendrix at the Isle of Wight,"Documentary, Music",7.7,"Blue Wild Angel: Jimi Hendrix Live At The Isle Of Wight documents the guitarist's legendary performance before 600,000 people at this massive outdoor music and arts festival in August 1970....                See full summary »",Murray Lerner,387,N/A,summer
2980,Bikes & Bras,"Drama, Fantasy, Reality-TV",8.2,"Five vignettes in which a massively endowed topless model fixes, washes and rides her motorcycle in a garage, runs out of gasoline, encounters skiers and Santa Claus in the snow and tries on brassieres with another busty model.",Bernd Daktari Lorenz,8,N/A,summer
2981,Mitä meistä tuli,"Crime, Drama",5.9,"Have you ever wondered how your old schoolmates are? Perhaps the guy next to you, who is doing time in jail at the moment, still thinks you are his best and only friend. Perhaps your first ...                See full synopsis »",Miika Ullakko,302,N/A,summer
2982,Deathtrip!,"Comedy, Horror",N/A,"A photojournalist navigates the seedy underworld of political corruption, fetish pornography, and summer camping in an attempt to stop a toxic form of MDMA that melts users from the inside out.",Josh Stephenson,N/A,N/A,summer
2983,Kuya,"Drama, Romance",7.1,"The adventures and misadventures of a group of teenagers, chronicling their pain and the lessons learned along the way.",Dominic Zapata,62,N/A,summer
2984,Dirty Story,Drama,5.2,"The director of one of Finland's largest company, United Metal, discovers the company's Chairman dead in the office. A chain of bribes unravels.",Jörn Donner,130,N/A,summer
2985,Jordgubbar med riktig mjölk,"Drama, Comedy",4.3,"Rolf lived his whole life for his TV-show. He's neglected the people close to him year after year; he never seemed to have any time left over for his wife, his kids or his friends. One day ...                See full summary »",Jack Ersgard,279,N/A,summer
2986,Aita,"Comedy, Drama",6.5,A devoted family man falls in love with his daughter's new friend.,Matti Ijäs,156,N/A,summer
2987,Montauk Highway,Romance,N/A,Edgy teen romance set against the tension between the locals and the summer crowd in The Hamptons. Co-written and directed by Brooks Elms who grew up in East Hampton as a local.,Brooks Elms,N/A,N/A,summer
2988,Flightless Birds,"Short, Comedy",7.1,"The five remaining residents of Fairburn, South Dakota discover that it'll take a god-dang miracle to save America's small towns.",Phil Johnston,11,N/A,summer
2989,O Mikes pantrevetai,Comedy,4.7,"An eccentric bachelor enlists the help of a dating agency and discovers the perfect match in the person of an equally maladroit woman. Her father agrees to this union, on one condition: He must quickly find a job. Will he ever get married?",Giannis Dalianidis,100,N/A,summer
2990,AJ's Infinite Summer,"Animation, Short, Comedy",7.0,A happy-go-lucky teenager named AJ and his offbeat friends attempt to have the greatest summer ever.,Phil Rynda,89,N/A,summer
2991,Making Do the Right Thing,Documentary,7.1,The Behind-the-Scenes documentary of the dramatic comedy Do the Right Thing.,St. Clair Bourne,203,N/A,summer
2992,The Kids Are Alright,"Short, Drama",7.6,When Louie reunites with his old friends he tries to prove himself and be with Stella but something horrible is about to happen that will change their friendship forever.,Bobbie Müller,10,N/A,summer
2993,Vares - Uhkapelimerkki,"Crime, Drama, Thriller",5.0,"Vares falls in love with a beautiful brunette - only to lose her in a horrible way. After dating Sole a few weeks, her body is found in a bird-watching tower.",Lauri Törhönen,648,N/A,summer
2994,Caccia al marito,Comedy,5.2,Four Italian salesgirls try to find a good husband during the summer holiday in a famous hotel. Only one of them will succeed.,Marino Girolami,34,N/A,summer
2995,The Weirdsies,Comedy,5.7,Four geeky friends seeking to lose their virginity go on one last summer adventure after they find out about a very gross and curious rumor they must investigate.,Chris Seaver,37,N/A,summer
2996,Anisoara,Drama,6.2,"Anishoara is a 15 year old girl, who lives in a beautiful old village in Moldova. She raises without mother and for several years she cares for her little brother Andrei and her drinking ...                See full summary »",Ana Felicia Scutelnicu,100,N/A,summer
2997,O antras tis gynaikas mou,"Comedy, Romance",5.4,"A philandering pharmacist has a chance encounter with an alluring blonde stranger who insists that she is his wife. Now, a revered psychiatrist attempts to shed light on a curious case of split personality. Who's the husband of his wife?",Dimis Dadiras,48,N/A,summer
2998,Tucker Therapy,"Comedy, Family",5.6,"In order to win a promotion at work, a frustrated father tricks his dysfunctional family into a week of family therapy.",Stephen Krist,26,N/A,summer
2999,Due volte,"Short, Drama",5.6,"Diego is 17 and is full of life, yet fragile. His best friend Antonio knows and indulges his weaknesses, but he would also like to see him strong and masculine. One night they meet Maria, a...                See full summary »",Domenico Onorato,53,N/A,summer
3000,Asbury Park,Drama,N/A,"The hot Summer nights, the neon lights, cruising the circuit and Rock n' Roll filled the air on the boulevards in 1974 Asbury Park New Jersey.",Peter Dobson,N/A,N/A,summer
3001,King of the Camp,"Comedy, Family, Musical",3.0,"In order to win the heart of counselor Cindy Keyes, kitchen boy Will Cross comes to realize that becoming King of the Camp takes much more than beating tough guy Chase Gunn in a wake boarding competition.",Sean Cisterna,118,N/A,summer
3002,Zima mertvetsov. Metelitsa,"Action, Adventure, Horror",4.1,"Russian Winter is a terrible thing... especially if it arrives in mid-July. Out amidst the icy storm, something raises its hideous head - a Russian zombie - senseless and merciless.",Nikolai Pigarev,202,N/A,summer
3003,Oregon Trail,Comedy,7.4,Mockumentary series about a group of summer campers and their overzealous leader in their attempt to recreate the famous trail-- with less-than-accurate results.,Allie-Rae Treharne,16,N/A,summer
3004,Lucifer Sensommer - gult og sort,Drama,5.9,Set in the south of Norway along the coastline. A young man puts aside his small boat on shore and tries to find work as a day labourer at a small farm. Here he meets a 15 year old girl who taunts him sexually.,Roar Skolmen,11,N/A,summer
3005,Sya,"Comedy, Mystery, Thriller",7.5,"In the small town of Quaint, Bruce Levin (Adam Templar) owns a respectable B&B establishment. Sleeping around with various women behind his wife's back, he does not realise that his actions...                See full summary »",Daniel Sowter,12,N/A,summer
3006,Horror of the Bitsevskiy park,"Horror, Thriller",9.0,"Five friends go to have fun in Bitsevskiy Park. After a while a man comes up to them and demands that they do not litter in the forest. The guys ignore the man, for which they will pay with their blood.",Sergey A.,38,N/A,summer
3007,Ollaan vapaita,"Comedy, Drama, Family",5.0,Selja is in her thirties and lives in a shared flat with her friends. One day a boy appears at her door; a boy she gave up for adoption sixteen years earlier. Selja has a chance to get to ...                See full summary »,Oskari Sipola,227,N/A,summer
3008,Selestenje,"Drama, Romance",6.6,Luka leaves for the countryside unhappy with the way his girlfriend Katarina has treated him. She follows him hoping that they could sort out their relationship. Despite the beauty and ...                See full summary »,Janez Lapajne,116,N/A,summer
3009,Aatamin puvussa - ja vähän Eevankin...,"Comedy, Music",5.0,The boat of two friends sinks and they find themselves naked on the island.,Ossi Elstelä,121,N/A,summer
3010,The Last Summer,Drama,N/A,"Don Simpson lives a routine existence in a dying town, hanging out and drinking with his best friends Mickey and Tim. But when the girl who got away returns home from traveling abroad, old ...                See full summary »",Shawn Caple,N/A,N/A,summer
3011,Panic Button,"Short, Music",N/A,"Panic Button is about the internal struggle. This music video is a haunting, musical, visceral journey exploring the the relationship one has with 'self' and how it affects everyone and everything in a person's life.",Jonathan Lawrence,N/A,N/A,summer
3012,Piilopirtti,Comedy,4.5,"Two middle-aged friends make a wager: no drinking, smoking, overeating, gambling, cursing, armchair sports or women for a month.",Seppo Huunonen,122,N/A,summer
3013,Demon Summer,Horror,3.1,"20 years ago the small town of Louisville, Ohio was stunned by the gruesome death of a local teenage girl. The case was shrouded in mystery and never resolved. The only man who knows the ...                See full summary »",Andrew Campbell,177,N/A,summer
3014,Keep on Truckin',"Music, Comedy",5.8,A summer replacement series with a four week run. It was a mix of musical performances plus a showcase for up and coming comedians.,Billy Crystal,17,N/A,summer
3015,Le film de l'été,Short,6.0,"It is a film about motorway, tourists under transhumance, concrete picnic tables, lines to the restroom, tepid melon slices and carwashs. It is a film about a man who wants to leave and a kid holding him back. It's a summer's film.",Emmanuel Marre,106,N/A,summer
